ссылка на товар,бренд,наименование,промо цена,регулярная цена,id товара
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/fresh-meat-suhoy-korm-dlya-sobak-melkih-porod-s-yagnenkom-1-5-kg.html,Grandin,"Fresh Meat Сухой корм для собак мелких пород, с ягненком, 1,5 кг",1599,1599,140801
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/suhoy-korm-grandorf-dlya-shchenkov-vseh-porod-yagnenok-s-risom-1kg.html,Grandorf,"Сухой корм для щенков всех пород, ягненок, индейка, 3кг",3445,3445,112532
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-care-dlya-sobak-vseh-porod-dermatologic-s-lososem-pak-3kg.html,Ownat,"Adult Care Dermatologic Сухой корм для собак всех пород склонных к дерматологической чувствительности, с лососем, 3 кг",2645,2645,145781
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-vseh-porod-s-forelyu.html,UNICA,"Mono All Breed сухой корм для собак всех пород с форелью, 12 кг",6199,6199,146416
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_Adult_suhoy_korm_dlya_sobak_s_chuvstvitelnym_pishchevareniem_yagnenokris.html,PRO PLAN®,"Opti Digest сухой корм для взрослых собак для средних пород при чувствительном пищеварении с ягненком, 14 кг",7336,9169,42347
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-dlya-sterilizovannyh-sobak-srednih-porod-3-kg.html,Ownat,"Medium Sterilized Ultra Сухой корм для стерилизованных собак средних пород, 3 кг",2745,2745,113399
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-vzroslykh-sobak-melkikh-porod-s-yagnenkom-400g.html,Aвва,"Сухой корм на основе свежего мяса для взрослых собак мелких пород, с ягненком 1,5 кг",1299,1299,154325
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Gastro_Intestinal_GI_korm_dieticheskiy_suhoy_dlya_sobak.html,Royal Canin,"Gastro Intestinal GI25 корм для собак при нарушении пищеварения, 2 кг",2947,2947,42649
https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-nizkozernovoy-dog-yagnenok-spelta-oves-i-chernika-dlya-vzroslyh-sobak-mini-800g.html,Farmina,"Mini низкозерновой сухой корм для взрослых собак мелких пород, с ягненком, спельтой, овсом и черникой, 2,5кг",3195,3195,137261
https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-nizkozernovoy-dog-yagnenok-spelta-oves-i-chernika-dlya-vzroslyh-sobak-medium-i-maksi-2-5kg.html,Farmina,"Medium&Maxi низкозерновой сухой корм для взрослых собак средних и крупных пород, с ягненком, спельтой, овсом и черникой, 12кг",9999,9999,137267
